date,homeTeamId,awayTeamId,home_racha_5,away_racha_5,homeTeamWinner
2024-01-27 19:30:00,1936,4935,6,3,True
2024-01-27 19:30:00,2022,20851,3,3,False
2024-01-27 20:00:00,2673,21314,0,0,True
2024-01-27 20:00:00,20303,20305,6,3,True
2024-01-27 20:00:00,18,12,0,0,False
2024-01-27 20:15:00,6079,10281,3,3,False
2024-01-27 21:00:00,5488,5481,3,3,True
2024-01-27 21:00:00,2026,4773,6,3,True
2024-01-27 21:10:00,18134,819,6,6,False
2024-01-27 21:30:00,5583,7465,3,3,False
2024-01-27 22:00:00,7764,5,0,6,False
2024-01-27 22:00:00,7389,6270,0,6,True
2024-01-27 22:00:00,7388,10266,6,0,False
2024-01-27 22:30:00,10318,5570,0,0,True
2024-01-27 23:00:00,4774,3448,3,0,False
2024-01-27 23:00:00,18218,20306,0,0,False
2024-01-27 23:00:00,11268,874,6,3,True
2024-01-27 23:10:00,10309,7445,3,0,False
2024-01-27 23:50:00,2675,5584,3,0,False
2024-01-28 00:00:00,15,20,0,0,False
2024-01-28 01:00:00,3372,18153,0,0,True
2024-01-28 01:20:00,2690,5486,0,0,True
2024-01-28 12:00:00,18203,817,0,3,False
2024-01-28 14:00:00,22142,4910,3,0,False
2024-01-28 18:45:00,4786,4806,3,0,True
2024-01-28 19:00:00,7632,18396,0,0,True
2024-01-28 19:00:00,3459,18963,0,0,False
2024-01-28 19:00:00,17134,6273,3,3,False
2024-01-28 19:00:00,10265,3454,0,9,False
2024-01-28 19:30:00,20293,5267,0,0,False
2024-01-28 20:00:00,6756,8950,0,0,True
2024-01-28 20:00:00,20852,17339,0,0,False
2024-01-28 21:00:00,2029,2674,6,6,True
2024-01-28 21:00:00,5480,4815,0,6,False
2024-01-28 21:10:00,3445,6087,9,6,True
2024-01-28 21:30:00,21316,21313,6,3,False
2024-01-28 22:00:00,16,3,6,0,False
2024-01-28 22:00:00,9169,18127,3,3,False
2024-01-28 22:00:00,17720,18128,0,3,False
2024-01-28 22:00:00,19433,2685,0,0,False
2024-01-28 23:00:00,4905,6154,0,3,False
2024-01-28 23:10:00,8109,5264,0,3,True
2024-01-28 23:50:00,7385,4820,3,0,True
2024-01-29 00:00:00,8,4,3,0,True
2024-01-29 01:00:00,2680,5567,0,0,True
2024-01-29 01:20:00,6137,5484,0,6,False
2024-01-29 18:00:00,929,20232,0,3,True
2024-01-29 20:00:00,18212,20308,6,6,True
2024-01-29 20:00:00,22168,11324,0,0,True
2024-01-29 21:30:00,7466,2670,0,6,False
2024-01-29 23:00:00,9460,18900,3,3,False
2024-01-29 23:00:00,18209,20307,0,3,False
2024-01-29 23:30:00,15502,900,0,6,False
2024-01-29 23:50:00,2671,6097,6,3,False
2024-01-30 00:00:00,2975,9785,0,0,True
2024-01-30 11:00:00,21173,22171,3,0,True
2024-01-30 20:00:00,18218,20305,0,3,True
2024-01-30 20:00:00,10,19,3,0,False
2024-01-30 21:00:00,9773,9762,0,6,False
2024-01-30 22:15:00,17,235,3,0,False
2024-01-30 22:15:00,9,9744,3,0,False
2024-01-30 22:30:00,874,2026,3,9,False
2024-01-30 23:00:00,20306,18232,3,3,False
2024-01-30 23:15:00,2672,4928,6,6,True
2024-01-31 00:30:00,12,14,3,3,False
2024-01-31 00:30:00,6086,18134,9,6,False
2024-01-31 00:30:00,21,11,3,3,False
2024-01-31 01:30:00,7445,5488,3,6,True
2024-01-31 20:00:00,3,17702,3,3,True
2024-01-31 20:45:00,8950,7764,0,0,True
2024-01-31 21:00:00,5486,5485,0,0,False
2024-01-31 21:10:00,6087,3454,6,12,True
2024-01-31 21:30:00,21369,1936,3,9,True
2024-01-31 22:00:00,4935,7388,3,6,False
2024-01-31 22:00:00,7391,10266,6,3,True
2024-01-31 22:15:00,4,18,0,0,False
2024-01-31 22:30:00,4773,3459,3,0,False
2024-01-31 22:30:00,6079,2029,3,9,False
2024-01-31 23:00:00,15,7767,0,0,True
2024-01-31 23:10:00,5484,9761,9,0,False
2024-02-01 00:30:00,17131,17134,6,3,False
2024-02-01 00:30:00,6273,6270,6,6,True
2024-02-01 00:30:00,10060,16,0,6,False
2024-02-01 00:30:00,20855,819,0,9,False
2024-02-01 00:35:00,3448,9169,3,3,False
2024-02-01 00:35:00,18128,2674,6,6,False
2024-02-01 01:20:00,5489,8109,3,3,True
2024-02-01 18:00:00,817,20232,6,3,True
2024-02-01 18:30:00,4786,900,6,9,True
2024-02-01 21:00:00,5481,5480,3,0,True
2024-02-01 22:00:00,10281,17720,6,0,True
2024-02-01 22:00:00,18963,11268,3,9,True
2024-02-01 22:00:00,4806,15502,0,0,True
2024-02-01 22:00:00,18127,4774,6,3,True
2024-02-01 22:00:00,5,10158,9,3,False
2024-02-01 23:00:00,20899,7389,0,3,False
2024-02-01 23:00:00,18209,20304,0,3,False
2024-02-01 23:00:00,20307,18212,6,9,True
2024-02-01 23:10:00,5264,2919,3,3,False
2024-02-02 00:30:00,20,8,3,6,False
2024-02-02 00:30:00,11989,6756,0,3,False
2024-02-02 00:30:00,3445,10265,12,0,True
2024-02-02 01:20:00,4815,2690,9,3,True
2024-02-02 20:00:00,11995,10122,3,3,False
2024-02-02 20:00:00,4811,17090,0,0,True
2024-02-02 20:10:00,13913,10374,0,0,True
2024-02-02 20:15:00,17699,17694,0,0,False
2024-02-02 21:00:00,17371,17374,0,0,False
2024-02-02 21:15:00,5584,7385,3,6,False
2024-02-02 23:00:00,18995,6037,0,0,False
2024-02-02 23:00:00,10054,14074,0,0,False
2024-02-02 23:00:00,18232,18218,6,3,False
2024-02-02 23:00:00,20306,20303,3,9,True
2024-02-02 23:10:00,10309,6137,3,0,False
2024-02-02 23:30:00,17692,17700,0,0,False
2024-02-02 23:30:00,10105,10048,0,0,False
